import time: self [us] | cumulative | imported package
import time:       394 |        394 |                 pandas.io.orc
import time:       697 |        697 |                 pandas.io.parquet
import time:       439 |        439 |                   pandas.compat.pickle_compat
import time:       519 |        958 |                 pandas.io.pickle
import time:       688 |        688 |                   pandas.core.computation.pytables
import time:      2240 |       2928 |                 pandas.io.pytables
import time:       494 |        494 |                   pandas.io.sas.sasreader
import time:       504 |        998 |                 pandas.io.sas
import time:       291 |        291 |                 pandas.io.spss
import time:      1130 |       1130 |                 pandas.io.sql
import time:       935 |        935 |                 pandas.io.xml
import time:      3642 |      22486 |               pandas.io.api
import time:       338 |        338 |               pandas.util._tester
import time:       262 |        262 |               pandas._version_meson
import time:      3180 |     456080 |             pandas
import time:       590 |        590 |                 pyama_core
import time:      1101 |       1101 |                           pyama_core.types.modelling
import time:       868 |        868 |                           pyama_core.types.statistics
import time:       654 |       2622 |                         pyama_core.types
import time:        26 |       2647 |                       pyama_core.types.modelling
import time:       474 |       3120 |                     pyama_core.modelling.models.maturation
import time:       578 |       3697 |                   pyama_core.modelling.models
import time:       435 |       4132 |                 pyama_core.modelling.fitting
import time:       488 |        488 |                             email
import time:      1618 |       1618 |                                 quopri
import time:       449 |        449 |                                   email._parseaddr
import time:       652 |        652 |                                     email.base64mime
import time:       726 |        726 |                                     email.quoprimime
import time:       842 |        842 |                                     email.errors
import time:       479 |        479 |                                     email.encoders
import time:       649 |       3346 |                                   email.charset
import time:      1600 |       5395 |                                 email.utils
import time:       947 |        947 |                                   email.header
import time:       816 |       1763 |                                 email._policybase
import time:       464 |        464 |                                 email._encoded_words
import time:       420 |        420 |                                 email.iterators
import time:      1942 |      11599 |                               email.message
import time:       500 |        500 |                                 importlib.metadata._functools
import time:       641 |       1141 |                               importlib.metadata._text
import time:       811 |      13550 |                             importlib.metadata._adapters
import time:       586 |        586 |                             importlib.metadata._meta
import time:       458 |        458 |                             importlib.metadata._collections
import time:       409 |        409 |                             importlib.metadata._itertools
import time:       677 |        677 |                                   importlib.resources.abc
import time:       676 |        676 |                                   importlib.resources._adapters
import time:      1203 |       2554 |                                 importlib.resources._common
import time:       411 |        411 |                                 importlib.resources._legacy
import time:       888 |       3853 |                               importlib.resources
import time:      1398 |       5251 |                             importlib.abc
import time:      2596 |      23335 |                           importlib.metadata
import time:       831 |        831 |                             email.feedparser
import time:       856 |       1687 |                           email.parser
import time:      1263 |       1263 |                             nd2._sdk_types
import time:     10386 |      11649 |                           nd2.structures
import time:      1244 |       1244 |                           nd2._binary
import time:       681 |        681 |                             nd2._util
import time:      2317 |       2317 |                                         typing_extensions
import time:      1368 |       3685 |                                       nd2._parse
import time:       505 |       4189 |                                     nd2._parse._chunk_decode
import time:       641 |       4830 |                                   nd2._readers._legacy
import time:       197 |        197 |                                     lxml
import time:       434 |        434 |                                         xml
import time:       657 |       1090 |                                       xml.etree
import time:       734 |        734 |                                       xml.etree.ElementPath
import time:       768 |        768 |                                         pyexpat
import time:       897 |       1665 |                                       _elementtree
import time:      1644 |       5132 |                                     xml.etree.ElementTree
import time:       392 |       5720 |                                   nd2._parse._legacy_xml
import time:       409 |        409 |                                   nd2._readers.protocol
import time:       986 |      11944 |                                 nd2._readers._legacy.legacy_reader
import time:       732 |        732 |                                   nd2._readers._modern
import time:       655 |        655 |                                   nd2._parse._clx_lite
import time:       211 |        211 |                                       lxml
import time:        25 |        235 |                                     lxml.etree
import time:       862 |       1097 |                                   nd2._parse._clx_xml
import time:       519 |        519 |                                   nd2._parse._parse
import time:      1627 |       4627 |                                 nd2._readers._modern.modern_reader
import time:       782 |      17352 |                               nd2._readers
import time:        26 |      17378 |                             nd2._readers.protocol
import time:       784 |      18843 |                           nd2._nd2file
import time:      3841 |      60596 |                         nd2
import time:       469 |        469 |                         pylibCZIrw
import time:       353 |        353 |                               validators._extremes
import time:       361 |        361 |                               validators.utils
import time:       995 |       1708 |                             validators.between
import time:       317 |        317 |                             validators.card
import time:       578 |        578 |                             validators.country
import time:       295 |        295 |                             validators.cron
import time:       330 |        330 |                               validators.crypto_addresses.bsc_address
import time:       270 |        270 |                               validators.crypto_addresses.btc_address
import time:       293 |        293 |                                   eth_hash
import time:        27 |        320 |                                 eth_hash.auto
import time:       449 |        768 |                               validators.crypto_addresses.eth_address
import time:       386 |        386 |                               validators.crypto_addresses.trx_address
import time:      1221 |       2974 |                             validators.crypto_addresses
import time:       484 |        484 |                             validators.domain
import time:       724 |        724 |                                 validators.ip_address
import time:       434 |       1158 |                               validators.hostname
import time:       417 |       1574 |                             validators.email
import time:       276 |        276 |                             validators.encoding
import time:       266 |        266 |                             validators.finance
import time:       275 |        275 |                             validators.hashes
import time:       641 |        641 |                               validators.i18n.es
import time:       460 |        460 |                               validators.i18n.fi
import time:       462 |        462 |                               validators.i18n.fr
import time:       435 |        435 |                               validators.i18n.ind
import time:       290 |        290 |                               validators.i18n.ru
import time:      1269 |       3554 |                             validators.i18n
import time:       282 |        282 |                             validators.iban
import time:       283 |        283 |                             validators.length
import time:       302 |        302 |                             validators.mac_address
import time:       249 |        249 |                             validators.slug
import time:       355 |        355 |                             validators.url
import time:       287 |        287 |                             validators.uuid
import time:      3951 |      18006 |                           validators
import time:       583 |        583 |                             xml.parsers
import time:       581 |        581 |                             xml.parsers.expat
import time:       480 |        480 |                                   xml.sax.handler
import time:       392 |        392 |                                   xml.sax._exceptions
import time:      1018 |       1889 |                                 xml.sax.xmlreader
import time:       820 |       2708 |                               xml.sax
import time:      1206 |       1206 |                                   http
import time:      1838 |       1838 |                                     _ssl
import time:      1821 |       3659 |                                   ssl
import time:      1957 |       6821 |                                 http.client
import time:       439 |        439 |                                   urllib.response
import time:       843 |       1281 |                                 urllib.error
import time:       412 |        412 |                                 nturl2path
import time:      1830 |      10342 |                               urllib.request
import time:       516 |      13566 |                             xml.sax.saxutils
import time:      1335 |      16063 |                           xmltodict
import time:      2369 |       2369 |                           _pylibCZIrw
import time:      2579 |      39015 |                         pylibCZIrw.czi
import time:      1248 |     101327 |                       pyama_core.io.microscopy
import time:       419 |        419 |                       pyama_core.io.analysis_csv
import time:       637 |     102382 |                     pyama_core.io
import time:        23 |     102405 |                   pyama_core.io.analysis_csv
import time:       439 |     102843 |                 pyama_core.modelling.fitting_service
import time:       649 |     108212 |               pyama_core.modelling
import time:        25 |     108237 |             pyama_core.modelling.fitting_service
import time:       340 |        340 |               pyama_pro.components
import time:       432 |        432 |                   packaging
import time:       472 |        472 |                   packaging._structures
import time:      2558 |       3461 |                 packaging.version
import time:       499 |        499 |                   matplotlib._api.deprecation
import time:       861 |       1359 |                 matplotlib._api
import time:       274 |        274 |                 matplotlib._version
import time:       516 |        516 |                   shlex
import time:       722 |        722 |                   matplotlib._c_internal_utils
import time:      1954 |       3191 |                 matplotlib.cbook
import time:       452 |        452 |                 matplotlib._docstring
import time:       531 |        531 |                     matplotlib.backends.registry
import time:       553 |       1083 |                   matplotlib.backends
import time:       515 |        515 |                       PIL._version
import time:       720 |       1235 |                     PIL
import time:      2235 |       2235 |                       PIL.ExifTags
import time:       556 |        556 |                       PIL.ImageMode
import time:       755 |        755 |                       PIL.TiffTags
import time:       438 |        438 |                       PIL._binary
import time:       735 |        735 |                       PIL._deprecate
import time:       371 |        371 |                       PIL._util
import time:       249 |        249 |                       defusedxml
import time:       896 |        896 |                       PIL._imaging
import time:      2303 |       8533 |                     PIL.Image
import time:      1400 |       1400 |                       fractions
import time:       454 |        454 |                       PIL.ImageChops
import time:      1188 |       1188 |                       PIL.ImageFile
import time:        89 |         89 |                         array
import time:       348 |        348 |                         PIL.GimpGradientFile
import time:       289 |        289 |                         PIL.GimpPaletteFile
import time:       386 |        386 |                         PIL.ImageColor
import time:       380 |        380 |                         PIL.PaletteFile
import time:       457 |       1946 |                       PIL.ImagePalette
import time:       304 |        304 |                       PIL.ImageSequence
import time:      1681 |       6972 |                     PIL.PngImagePlugin
import time:       576 |        576 |                     matplotlib._cm
import time:       963 |        963 |                           matplotlib._path
import time:       459 |        459 |                             matplotlib.bezier
import time:       829 |       1288 |                           matplotlib.path
import time:      1851 |       4101 |                         matplotlib.transforms
import time:      1228 |       5329 |                       matplotlib.ticker
import time:      2137 |       7465 |                     matplotlib.scale
import time:       746 |        746 |                     matplotlib._image
import time:       891 |        891 |                     matplotlib._color_data
import time:      2983 |      29398 |                   matplotlib.colors
import time:      1129 |       1129 |                       pyparsing.warnings
import time:       695 |        695 |                       pyparsing.util
import time:       736 |        736 |                         pyparsing.unicode
import time:      1650 |       2386 |                       pyparsing.exceptions
import time:       484 |        484 |                         pyparsing.results
import time:       734 |       1218 |                       pyparsing.actions
import time:      6287 |       6287 |                       pyparsing.core
import time:      1387 |       1387 |                             html.entities
import time:      1124 |       2511 |                           html
import time:        35 |       2545 |                         html.entities
import time:      2673 |       5217 |                       pyparsing.helpers
import time:       622 |        622 |                             unittest.util
import time:      1065 |       1687 |                           unittest.result
import time:        47 |         47 |                                 _heapq
import time:       467 |        513 |                               heapq
import time:      1109 |       1621 |                             difflib
import time:      1374 |       2995 |                           unittest.case
import time:       423 |        423 |                           unittest.suite
import time:       977 |        977 |                           unittest.loader
import time:       366 |        366 |                               unittest.signals
import time:      1328 |       1694 |                             unittest.runner
import time:      1093 |       2786 |                           unittest.main
import time:      2145 |      11010 |                         unittest
import time:       497 |      11507 |                       pyparsing.testing
import time:      2987 |       2987 |                       pyparsing.common
import time:      2695 |      34120 |                     pyparsing
import time:       556 |      34675 |                   matplotlib._fontconfig_pattern
import time:       672 |        672 |                   matplotlib._enums
import time:       683 |        683 |                   cycler
import time:      2504 |      69014 |                 matplotlib.rcsetup
import time:      1844 |       1844 |                 matplotlib.ft2font
import time:       387 |        387 |                   kiwisolver.exceptions
import time:       998 |       1385 |                 kiwisolver._cext
import time:      1985 |       1985 |                     matplotlib.artist
import time:      1174 |       3158 |                   matplotlib.colorizer
import time:      1240 |       1240 |                   matplotlib._cm_listed
import time:       808 |        808 |                   matplotlib._cm_multivar
import time:       823 |        823 |                   matplotlib._cm_bivar
import time:      4255 |      10282 |                 matplotlib.cm
import time:      7254 |      98513 |               matplotlib
import time:       728 |        728 |                 matplotlib.hatch
import time:       703 |        703 |                   matplotlib.markers
import time:      5316 |       6018 |                 matplotlib.lines
import time:     16225 |      22969 |               matplotlib.patches
import time:       858 |        858 |                   matplotlib.backends.qt_compat
import time:       360 |        360 |                         matplotlib._pylab_helpers
import time:       992 |       1351 |                       matplotlib.backend_tools
import time:      1537 |       1537 |                           plistlib
import time:       813 |        813 |                             matplotlib._mathtext_data
import time:      1048 |       1861 |                           matplotlib._afm
import time:      3334 |       6731 |                         matplotlib.font_manager
import time:      1146 |       1146 |                           matplotlib._text_helpers
import time:      1054 |       1054 |                           matplotlib.dviread
import time:      3829 |       3829 |                             matplotlib._mathtext
import time:      1208 |       5037 |                           matplotlib.mathtext
import time:       595 |        595 |                           matplotlib.texmanager
import time:      1101 |       8931 |                         matplotlib.textpath
import time:      4720 |      20381 |                       matplotlib.text
import time:       565 |        565 |                       matplotlib._tight_bbox
import time:     13025 |      13025 |                         matplotlib.collections
import time:      1611 |      14636 |                       matplotlib.widgets
import time:       507 |        507 |                       matplotlib.backend_managers
import time:       475 |        475 |                           matplotlib._layoutgrid
import time:       396 |        871 |                         matplotlib._constrained_layout
import time:       495 |        495 |                         matplotlib._tight_layout
import time:       911 |       2276 |                       matplotlib.layout_engine
import time:      2127 |      41841 |                     matplotlib.backend_bases
import time:       824 |        824 |                     matplotlib.backends._backend_agg
import time:      1388 |      44052 |                   matplotlib.backends.backend_agg
import time:       518 |        518 |                       matplotlib.backends.qt_editor
import time:      3977 |       3977 |                       matplotlib.image
import time:       924 |        924 |                       matplotlib.backends.qt_editor._formlayout
import time:       689 |        689 |                         dateutil.rrule
import time:       613 |        613 |                         matplotlib.units
import time:      1565 |       2866 |                       matplotlib.dates
import time:      1079 |       9362 |                     matplotlib.backends.qt_editor.figureoptions
import time:     11303 |      20665 |                   matplotlib.backends.backend_qt
import time:      2129 |      67703 |                 matplotlib.backends.backend_qtagg
import time:       965 |      68667 |               matplotlib.backends.backend_qt5agg
import time:       398 |        398 |                 matplotlib._blocking_input
import time:      5812 |       5812 |                       matplotlib.offsetbox
import time:      5082 |       5082 |                       matplotlib.axis
import time:       602 |        602 |                       matplotlib.gridspec
import time:      1180 |       1180 |                       matplotlib.spines
import time:      3086 |       3086 |                       matplotlib.table
import time:      3780 |      19540 |                     matplotlib.axes._base
import time:       658 |        658 |                       matplotlib.category
import time:      2100 |       2100 |                       matplotlib.contour
import time:       838 |        838 |                       matplotlib.inset
import time:       530 |        530 |                         matplotlib.container
import time:       753 |        753 |                         matplotlib.legend_handler
import time:      3189 |       4471 |                       matplotlib.legend
import time:       514 |        514 |                       matplotlib.mlab
import time:      2947 |       2947 |                       matplotlib.quiver
import time:       502 |        502 |                       matplotlib.stackplot
import time:       559 |        559 |                       matplotlib.streamplot
import time:       591 |        591 |                         matplotlib.tri._triangulation
import time:      1530 |       1530 |                         matplotlib.tri._tricontour
import time:       468 |        468 |                         matplotlib.tri._trifinder
import time:       510 |        510 |                           matplotlib.tri._tritools
import time:      1087 |       1597 |                         matplotlib.tri._triinterpolate
import time:      1000 |       1000 |                         matplotlib.tri._tripcolor
import time:       337 |        337 |                         matplotlib.tri._triplot
import time:       413 |        413 |                         matplotlib.tri._trirefine
import time:      1964 |       7896 |                       matplotlib.tri
import time:      2238 |       2238 |                       matplotlib.axes._secondary_axes
import time:     11761 |      34479 |                     matplotlib.axes._axes
import time:      1937 |      55955 |                   matplotlib.axes
import time:      6196 |       6196 |                   matplotlib.projections.geo
import time:      4939 |       4939 |                   matplotlib.projections.polar
import time:       316 |        316 |                     mpl_toolkits
import time:       631 |        631 |                         mpl_toolkits.mplot3d.proj3d
import time:      8027 |       8658 |                       mpl_toolkits.mplot3d.art3d
import time:      3906 |       3906 |                       mpl_toolkits.mplot3d.axis3d
import time:      5147 |      17710 |                     mpl_toolkits.mplot3d.axes3d
import time:      1179 |      19204 |                   mpl_toolkits.mplot3d
import time:      1005 |      87297 |                 matplotlib.projections
import time:      1735 |       1735 |                 matplotlib.colorbar
import time:      4960 |      94390 |               matplotlib.figure
import time:      2169 |     287046 |             pyama_pro.components.mpl_canvas
import time:      2672 |       2672 |             pyama_pro.components.parameter_table
import time:       531 |        531 |             pyama_pro.constants
import time:       751 |        751 |               pyama_pro.utils.threading
import time:       518 |       1269 |             pyama_pro.utils
import time:       644 |        644 |                 pyama_pro.types.modelling
import time:      3708 |       3708 |                   pyama_core.types.processing
import time:      1341 |       5049 |                 pyama_pro.types.processing
import time:       297 |        297 |                 pyama_pro.types.statistics
import time:       764 |        764 |                 pyama_pro.types.visualization
import time:       820 |       7572 |               pyama_pro.types
import time:        23 |       7595 |             pyama_pro.types.modelling
import time:      4088 |     867515 |           pyama_pro.modelling.data
import time:       738 |        738 |           pyama_pro.modelling.parameter
import time:      1113 |       1113 |           pyama_pro.modelling.quality
import time:      1801 |     871166 |         pyama_pro.modelling.main_tab
import time:       719 |     871885 |       pyama_pro.modelling
import time:        34 |     871918 |     pyama_pro.modelling.main_tab
import time:       360 |        360 |               yaml.error
import time:       443 |        443 |               yaml.tokens
import time:       675 |        675 |               yaml.events
import time:       551 |        551 |               yaml.nodes
import time:      2950 |       2950 |                 yaml.reader
import time:       631 |        631 |                 yaml.scanner
import time:       661 |        661 |                 yaml.parser
import time:       511 |        511 |                 yaml.composer
import time:      1097 |       1097 |                 yaml.constructor
import time:      1122 |       1122 |                 yaml.resolver
import time:      2020 |       8989 |               yaml.loader
import time:       437 |        437 |                 yaml.emitter
import time:       655 |        655 |                 yaml.serializer
import time:       621 |        621 |                 yaml.representer
import time:      1234 |       2946 |               yaml.dumper
import time:       840 |        840 |                 yaml._yaml
import time:       460 |       1300 |               yaml.cyaml
import time:      1813 |      17074 |             yaml
import time:       367 |        367 |               pyama_core.processing
import time:       341 |        341 |                 pyama_core.io.processing_csv
import time:       985 |        985 |                   pyama_core.types.io
import time:       778 |       1763 |                 pyama_core.io.results_yaml
import time:       352 |        352 |                 pyama_core.io.trace_paths
import time:       892 |       3347 |               pyama_core.processing.merge.run
import time:       634 |       4347 |             pyama_core.processing.merge
import time:      1153 |      22573 |           pyama_pro.processing.merge
import time:       176 |        176 |                     pyama_core.processing.extraction.features.fluorescence
import time:       441 |        441 |                     pyama_core.processing.extraction.features.fluorescence.intensity
import time:       108 |        108 |                     pyama_core.processing.extraction.features.phase_contrast
import time:       311 |        311 |                     pyama_core.processing.extraction.features.phase_contrast.area
import time:       369 |       1404 |                   pyama_core.processing.extraction.features
import time:       528 |       1931 |                 pyama_core.processing.extraction.run
import time:       644 |       2575 |               pyama_core.processing.extraction
import time:        22 |       2597 |             pyama_core.processing.extraction.features
import time:       615 |        615 |                   concurrent
import time:       726 |        726 |                   concurrent.futures._base
import time:       777 |       2117 |                 concurrent.futures
import time:       624 |        624 |                     _queue
import time:       468 |       1091 |                   queue
import time:       803 |       1893 |                 concurrent.futures.thread
import time:       972 |       4981 |               pyama_core.processing.workflow.run
import time:       637 |       5617 |             pyama_core.processing.workflow
import time:      1159 |       9372 |           pyama_pro.processing.workflow
import time:      1202 |      33146 |         pyama_pro.processing.main_tab
import time:       539 |      33685 |       pyama_pro.processing
import time:        25 |      33709 |     pyama_pro.processing.main_tab
import time:       401 |        401 |             pyama_core.statistics.discovery
import time:       411 |        411 |             pyama_core.statistics.metrics
import time:       284 |        284 |               pyama_core.statistics.normalization
import time:       472 |        756 |             pyama_core.statistics.service
import time:       816 |       2382 |           pyama_core.statistics
import time:      1477 |       3859 |         pyama_pro.statistics.main_tab
import time:       640 |       4498 |       pyama_pro.statistics
import time:        26 |       4524 |     pyama_pro.statistics.main_tab
import time:       391 |        391 |               pyama_core.visualization.preprocessing
import time:       730 |        730 |               pyama_core.visualization.cache
import time:       905 |       2025 |             pyama_core.visualization
import time:       814 |       2838 |           pyama_pro.visualization.image
import time:       779 |        779 |           pyama_pro.visualization.load
import time:      1396 |       1396 |           pyama_pro.visualization.trace
import time:      1233 |       6244 |         pyama_pro.visualization.main_tab
import time:       584 |       6827 |       pyama_pro.visualization
import time:        21 |       6847 |     pyama_pro.visualization.main_tab
import time:      2596 |     919593 |   pyama_pro.main_window
import time:      3550 |    1067390 | pyama_pro.main
