import time: self [us] | cumulative | imported package
import time:       477 |        477 |                         numpy._core._type_aliases
import time:      1888 |       4539 |                       numpy._core.numerictypes
import time:      1436 |       1436 |                               numpy._core._methods
import time:      1253 |       2689 |                             numpy._core.fromnumeric
import time:       612 |       3300 |                           numpy._core.shape_base
import time:       646 |        646 |                           numpy._core._ufunc_config
import time:       492 |        492 |                           numpy._core._asarray
import time:      2530 |       2530 |                           numpy._core.arrayprint
import time:      2910 |       9876 |                         numpy._core.numeric
import time:       809 |      10684 |                       numpy._core.einsumfunc
import time:       625 |        625 |                       numpy._core.function_base
import time:       598 |        598 |                       numpy._core.getlimits
import time:       550 |        550 |                       numpy._core.memmap
import time:       723 |        723 |                       numpy._core.records
import time:      6041 |       6041 |                       numpy._core._add_newdocs
import time:      1069 |       1069 |                       numpy._core._add_newdocs_scalars
import time:       403 |        403 |                       numpy._core._dtype_ctypes
import time:      1361 |       1361 |                           _ctypes
import time:      1047 |       1047 |                           ctypes._endian
import time:      1501 |       3907 |                         ctypes
import time:      1616 |       5523 |                       numpy._core._internal
import time:       447 |        447 |                       numpy._pytesttester
import time:      3269 |      48139 |                     numpy._core
import time:        31 |      48170 |                   numpy._core._multiarray_umath
import time:       530 |      48700 |                 numpy.__config__
import time:       502 |        502 |                                   numpy._typing._nbit_base
import time:       500 |        500 |                                   numpy._typing._nested_sequence
import time:       353 |        353 |                                   numpy._typing._shape
import time:      2985 |       4339 |                                 numpy._typing._array_like
import time:      1980 |       1980 |                                 numpy._typing._char_codes
import time:      2253 |       2253 |                                 numpy._typing._dtype_like
import time:       435 |        435 |                                 numpy._typing._nbit
import time:       494 |        494 |                                 numpy._typing._scalars
import time:       583 |        583 |                                 numpy._typing._ufunc
import time:      1851 |      11932 |                               numpy._typing
import time:       660 |        660 |                                 numpy.lib._stride_tricks_impl
import time:       991 |       1650 |                               numpy.lib._twodim_base_impl
import time:       404 |        404 |                                 numpy.lib._array_utils_impl
import time:       600 |       1003 |                               numpy.lib.array_utils
import time:       667 |        667 |                               numpy.linalg._umath_linalg
import time:      2418 |      17668 |                             numpy.linalg._linalg
import time:      1263 |      18931 |                           numpy.linalg
import time:       570 |      19500 |                         numpy.matrixlib.defmatrix
import time:       836 |      20335 |                       numpy.matrixlib
import time:       555 |        555 |                         numpy.lib._histograms_impl
import time:      1592 |       2147 |                       numpy.lib._function_base_impl
import time:      1503 |      23984 |                     numpy.lib._index_tricks_impl
import time:       842 |      24826 |                   numpy.lib._arraypad_impl
import time:       963 |        963 |                   numpy.lib._arraysetops_impl
import time:       579 |        579 |                   numpy.lib._arrayterator_impl
import time:      1007 |       1007 |                   numpy.lib._nanfunctions_impl
import time:      1583 |       1583 |                             _wmi
import time:       898 |       2480 |                           platform
import time:       957 |       3437 |                         numpy.lib._utils_impl
import time:      1062 |       4499 |                       numpy.lib._format_impl
import time:       721 |       5219 |                     numpy.lib.format
import time:       572 |        572 |                     numpy.lib._datasource
import time:       545 |        545 |                     numpy.lib._iotools
import time:      1866 |       8201 |                   numpy.lib._npyio_impl
import time:       379 |        379 |                       numpy.lib._ufunclike_impl
import time:       711 |       1089 |                     numpy.lib._type_check_impl
import time:       863 |       1951 |                   numpy.lib._polynomial_impl
import time:       577 |        577 |                   numpy.lib._shape_base_impl
import time:       575 |        575 |                   numpy.lib._version
import time:       381 |        381 |                   numpy.lib.introspect
import time:       442 |        442 |                   numpy.lib.mixins
import time:       913 |        913 |                   numpy.lib.npyio
import time:      1400 |       1400 |                     numpy.lib._scimath_impl
import time:       569 |       1968 |                   numpy.lib.scimath
import time:       334 |        334 |                   numpy.lib.stride_tricks
import time:      1050 |      43761 |                 numpy.lib
import time:       651 |        651 |                 numpy._array_api_info
import time:      4601 |     101786 |               numpy
import time:       615 |        615 |                 pytz.exceptions
import time:       832 |        832 |                 pytz.lazy
import time:       842 |        842 |                 pytz.tzinfo
import time:       421 |        421 |                 pytz.tzfile
import time:      1986 |       4694 |               pytz
import time:       529 |        529 |                 dateutil._version
import time:       810 |       1338 |               dateutil
import time:      1351 |       1351 |                   sysconfig
import time:      1266 |       2617 |                 pandas.compat._constants
import time:       831 |        831 |                 pandas.compat.compressors
import time:       413 |        413 |                     pandas.util
import time:      1826 |       2239 |                   pandas.util.version
import time:       981 |       3219 |                 pandas.compat.numpy
import time:       226 |        226 |                   pyarrow
import time:       395 |        620 |                 pandas.compat.pyarrow
import time:      1153 |       8438 |               pandas.compat
import time:       776 |        776 |                           numpy.random._common
import time:      4225 |       4225 |                               _hashlib
import time:        64 |         64 |                                 _blake2
import time:       765 |        829 |                               hashlib
import time:       804 |       5857 |                             hmac
